CPU,Codename,Min_Cores,Max_Cores,Clock,Min_Clock,Min_Clock(MHz),Max_Clock,Max_Clock(MHz),Size,Socket,Process,Process(NM),TDP(Watts),Release
Athlon II X4 638,Llano,4,4,2.7 GHz,2.7,2700,2.7,2700,GHz,Socket FM1,32 nm,32 ,65,"Feb 6th, 2012"
Athlon II X4 635,Propus,4,4,2.9 GHz,2.9,2900,2.9,2900,GHz,Socket AM3,45 nm,45 ,95,"Jan 25th, 2010"
Athlon II X4 631,Llano,4,4,2.6 GHz,2.6,2600,2.6,2600,GHz,Socket FM1,32 nm,32 ,100,"Aug 17th, 2011"
Athlon II X4 620e,Propus,4,4,2.6 GHz,2.6,2600,2.6,2600,GHz,Socket AM3,45 nm,45 ,45,"May 3rd, 2011"
Athlon II X4 615e,Propus,4,4,2.5 GHz,2.5,2500,2.5,2500,GHz,Socket AM3,45 nm,45 ,45,"Sep 21st, 2010"
Athlon II X4 610e,Propus,4,4,2.4 GHz,2.4,2400,2.4,2400,GHz,Socket AM3,45 nm,45 ,45,"May 11th, 2010"
Athlon II X3 460,Rana,3,3,3.4 GHz,3.4,3400,3.4,3400,GHz,Socket AM3,45 nm,45 ,95,"May 3rd, 2011"
Athlon II X3 455,Rana,3,3,3.3 GHz,3.3,3300,3.3,3300,GHz,Socket AM3,45 nm,45 ,95,"Dec 7th, 2010"
Athlon II X3 450,Rana,3,3,3.2 GHz,3.2,3200,3.2,3200,GHz,Socket AM3,45 nm,45 ,95,"Sep 21st, 2010"
Athlon II X3 445,Rana,3,3,3.1 GHz,3.1,3100,3.1,3100,GHz,Socket AM3,45 nm,45 ,95,"May 11th, 2010"
Athlon II X3 440,Rana,3,3,3 GHz,3,3000,3,3000,GHz,Socket AM3,45 nm,45 ,95,"Jan 25th, 2010"
Athlon II X3 435,Rana,3,3,2.9 GHz,2.9,2900,2.9,2900,GHz,Socket AM3,45 nm,45 ,95,"Oct 9th, 2009"
Athlon II X3 425e,Rana,3,3,2.7 GHz,2.7,2700,2.7,2700,GHz,Socket AM3,45 nm,45 ,45,"May 3rd, 2011"
Athlon II X3 425,Rana,3,3,2.7 GHz,2.7,2700,2.7,2700,GHz,Socket AM3,45 nm,45 ,95,"Oct 20th, 2009"
Athlon II X3 420e,Rana,3,3,2.6 GHz,2.6,2600,2.6,2600,GHz,Socket AM3,45 nm,45 ,45,"Sep 21st, 2010"
Athlon II X3 415e,Rana,3,3,2.5 GHz,2.5,2500,2.5,2500,GHz,Socket AM3,45 nm,45 ,45,"May 11th, 2010"
Athlon II X3 405e,Rana,3,3,2.3 GHz,2.3,2300,2.3,2300,GHz,Socket AM3,45 nm,45 ,45,"Oct 20th, 2009"
Athlon II X3 400e,Rana,3,3,2.2 GHz,2.2,2200,2.2,2200,GHz,Socket AM3,45 nm,45 ,45,"Oct 20th, 2009"
Athlon II X2 280,Regor,2,2,3.6 GHz,3.6,3600,3.6,3600,GHz,Socket AM3,45 nm,45 ,65,"Feb 6th, 2013"
Athlon II X2 270u,Regor,2,2,2000 MHz,2000,2000,2000,2000,MHz,Socket AM3,45 nm,45 ,25,"Sep 21st, 2010"
Athlon II X2 270,Regor,2,2,3.4 GHz,3.4,3400,3.4,3400,GHz,Socket AM3,45 nm,45 ,65,"Jul 1st, 2011"
Athlon II X2 265,Regor,2,2,3.3 GHz,3.3,3300,3.3,3300,GHz,Socket AM3,45 nm,45 ,65,"Sep 21st, 2010"
Athlon II X2 260u,Regor,2,2,1800 MHz,1800,1800,1800,1800,MHz,Socket AM3,45 nm,45 ,25,"Oct 20th, 2009"
Athlon II X2 260,Regor,2,2,3.2 GHz,3.2,3200,3.2,3200,GHz,Socket AM3,45 nm,45 ,65,"May 11th, 2010"
Athlon II X2 255,Regor,2,2,3.1 GHz,3.1,3100,3.1,3100,GHz,Socket AM3,45 nm,45 ,65,"Jan 25th, 2010"
Athlon II X2 250u,Regor,2,2,1600 MHz,1600,1600,1600,1600,MHz,Socket AM3,45 nm,45 ,25,"Oct 20th, 2009"
Athlon II X2 250e,Regor,2,2,3 GHz,3,3000,3,3000,GHz,Socket AM3,45 nm,45 ,45,"Sep 21st, 2010"
Athlon II X2 250,Regor,2,2,3 GHz,3,3000,3,3000,GHz,Socket AM3,45 nm,45 ,65,"Jun 2nd, 2009"
Athlon II X2 245e,Regor,2,2,2.9 GHz,2.9,2900,2.9,2900,GHz,Socket AM3,45 nm,45 ,45,"May 11th, 2010"
Athlon II X2 245,Regor,2,2,2.9 GHz,2.9,2900,2.9,2900,GHz,Socket AM3,45 nm,45 ,65,"Jul 23rd, 2009"
Athlon II X2 240e,Regor,2,2,2.8 GHz,2.8,2800,2.8,2800,GHz,Socket AM3,45 nm,45 ,45,"Oct 20th, 2009"
Athlon II X2 240,Regor,2,2,2.8 GHz,2.8,2800,2.8,2800,GHz,Socket AM3,45 nm,45 ,65,"Jul 23rd, 2009"
Athlon II X2 235e,Regor,2,2,2.7 GHz,2.7,2700,2.7,2700,GHz,Socket AM3,45 nm,45 ,45,"Oct 20th, 2009"
Athlon II X2 220,Regor,2,2,2.8 GHz,2.8,2800,2.8,2800,GHz,Socket AM3,45 nm,45 ,65,"Sep 21st, 2010"
Athlon II X2 215,Regor,2,2,2.7 GHz,2.7,2700,2.7,2700,GHz,Socket AM3,45 nm,45 ,65,"Oct 20th, 2009"
Athlon II X2 210e,Regor,2,2,2.6 GHz,2.6,2600,2.6,2600,GHz,Socket AM3,45 nm,45 ,45,"Sep 21st, 2010"
Athlon 950,Thunderbird,1,1,950 MHz,950,950,950,950,MHz,Socket A,180 nm,180 ,52,"Jun 5th, 2000"
Athlon 900,Thunderbird,1,1,900 MHz,900,900,900,900,MHz,Socket A,180 nm,180 ,50,"Jun 5th, 2000"
Athlon 850,Thunderbird,1,1,850 MHz,850,850,850,850,MHz,Socket A,180 nm,180 ,47,"Jun 5th, 2000"
Athlon 800,Thunderbird,1,1,800 MHz,800,800,800,800,MHz,Socket A,180 nm,180 ,45,"Jun 5th, 2000"
Athlon 750,Thunderbird,1,1,750 MHz,750,750,750,750,MHz,Socket A,180 nm,180 ,43,"Jun 5th, 2000"
Athlon 700,Thunderbird,1,1,700 MHz,700,700,700,700,MHz,Socket A,180 nm,180 ,40,"Jun 5th, 2000"
Athlon 650,Thunderbird,1,1,650 MHz,650,650,650,650,MHz,Socket A,180 nm,180 ,38,"Jun 5th, 2000"
Athlon 64 X2 5800+,Brisbane,2,2,3 GHz,3,3000,3,3000,GHz,Socket AM2,65 nm,65 ,89,"Apr 1st, 2008"
