CPU,Codename,Min_Cores,Max_Cores,Clock,Min_Clock,Min_Clock(MHz),Max_Clock,Max_Clock(MHz),Size,Socket,Process,Process(NM),TDP(Watts),Release
Ryzen 7 PRO 2700U,Raven Ridge,4,8,2.2 to 3.8 GHz,2.2,2200,3.8,3800,GHz,Socket FP5,14 nm,14 ,15,"Oct 26th, 2017"
Ryzen 7 5800U,Cezanne-U,8,16,1.9 to 4.4 GHz,1.9,1900,4.4,4400,GHz,Socket FP6,7 nm,7 ,15,"Jan 12th, 2021"
Ryzen 7 5800HS,Cezanne,8,16,2.8 to 4.4 GHz,2.8,2800,4.4,4400,GHz,Socket FP6,7 nm,7 ,35,"Jan 12th, 2021"
Ryzen 7 5800H,Cezanne,8,16,3.2 to 4.4 GHz,3.2,3200,4.4,4400,GHz,Socket FP6,7 nm,7 ,45,"Jan 12th, 2021"
Ryzen 7 5800G,Cezanne,8,16,3.8 to 4.8 GHz,3.8,3800,4.8,4800,GHz,Socket AM4,7 nm,7 ,65,Unknown
Ryzen 7 5800,Vermeer,8,16,3.4 to 4.6 GHz,3.4,3400,4.6,4600,GHz,Socket AM4,7 nm,7 ,65,"Jan 12th, 2021"
Ryzen 7 5700U,Lucienne,8,16,1.8 to 4.3 GHz,1.8,1800,4.3,4300,GHz,Socket FP6,7 nm,7 ,15,"Jan 12th, 2021"
Ryzen 7 5700G,Cezanne,8,16,3.8 to 4.6 GHz,3.8,3800,4.6,4600,GHz,Socket AM4,7 nm,7 ,65,"Apr 13th, 2021"
Ryzen 7 2700U,Raven Ridge,4,8,2.2 to 3.8 GHz,2.2,2200,3.8,3800,GHz,Socket FP5,14 nm,14 ,15,"Oct 26th, 2017"
Ryzen 5 PRO 5650U,Cezanne-U,6,12,2.3 to 4.2 GHz,2.3,2300,4.2,4200,GHz,Socket FP6,7 nm,7 ,15,"Mar 16th, 2021"
Ryzen 5 PRO 5650GE,Cezanne,6,12,3.4 to 4.4 GHz,3.4,3400,4.4,4400,GHz,Socket AM4,7 nm,7 ,35,"Jun 1st, 2021"
Ryzen 5 PRO 5650G,Cezanne,6,12,3.9 to 4.4 GHz,3.9,3900,4.4,4400,GHz,Socket AM4,7 nm,7 ,65,"Jun 1st, 2021"
Ryzen 5 PRO 1600,Zen,6,12,3.2 to 3.6 GHz,3.2,3200,3.6,3600,GHz,Socket AM4,14 nm,14 ,65,"Jun 29th, 2017"
Ryzen 5 PRO 1500,Zen,4,8,3.5 to 3.7 GHz,3.5,3500,3.7,3700,GHz,Socket AM4,14 nm,14 ,65,"Jun 29th, 2017"
Ryzen 5 5600U,Cezanne-U,6,12,2.3 to 4.2 GHz,2.3,2300,4.2,4200,GHz,Socket FP6,7 nm,7 ,15,"Jan 12th, 2021"
Ryzen 5 5600G,Cezanne,6,12,3.9 to 4.4 GHz,3.9,3900,4.4,4400,GHz,Socket AM4,7 nm,7 ,65,"Apr 13th, 2021"
Ryzen 5 5500U,Lucienne,6,12,2.1 to 4 GHz,2.1,2100,4,4000,GHz,Socket FP6,7 nm,7 ,15,"Jan 12th, 2021"
Ryzen 5 2500U,Raven Ridge,4,8,2 to 3.6 GHz,2,2000,3.6,3600,GHz,Socket FP5,14 nm,14 ,15,"Oct 26th, 2017"
Ryzen 5 1600X,Zen,6,12,3.6 to 4 GHz,3.6,3600,4,4000,GHz,Socket AM4,14 nm,14 ,95,"Apr 11th, 2017"
Ryzen 5 1600,Zen,6,12,3.2 to 3.6 GHz,3.2,3200,3.6,3600,GHz,Socket AM4,14 nm,14 ,65,"Apr 11th, 2017"
Ryzen 5 1500X,Zen,4,8,3.5 to 3.7 GHz,3.5,3500,3.7,3700,GHz,Socket AM4,14 nm,14 ,65,"Apr 11th, 2017"
Ryzen 5 1400,Zen,4,8,3.2 to 3.4 GHz,3.2,3200,3.4,3400,GHz,Socket AM4,14 nm,14 ,65,"Apr 11th, 2017"
Ryzen 3 PRO 5450U,Cezanne-U,4,8,2.6 to 4 GHz,2.6,2600,4,4000,GHz,Socket FP6,7 nm,7 ,15,"Mar 16th, 2021"
Ryzen 3 PRO 5350GE,Cezanne,4,8,3.6 to 4.2 GHz,3.6,3600,4.2,4200,GHz,Socket AM4,7 nm,7 ,35,"Jun 1st, 2021"
Ryzen 3 PRO 5350G,Cezanne,4,8,4 to 4.2 GHz,4,4000,4.2,4200,GHz,Socket AM4,7 nm,7 ,65,"Jun 1st, 2021"
Ryzen 3 PRO 1300,Zen,4,4,3.5 to 3.7 GHz,3.5,3500,3.7,3700,GHz,Socket AM4,14 nm,14 ,65,"Jun 29th, 2017"
Ryzen 3 PRO 1200,Zen,4,4,3.1 to 3.4 GHz,3.1,3100,3.4,3400,GHz,Socket AM4,14 nm,14 ,65,"Jun 29th, 2017"
Ryzen 3 5400U,Cezanne-U,4,8,2.6 to 4 GHz,2.6,2600,4,4000,GHz,Socket FP6,7 nm,7 ,15,"Jan 12th, 2021"
Ryzen 3 5300U,Lucienne,4,8,2.6 to 3.8 GHz,2.6,2600,3.8,3800,GHz,Socket FP6,7 nm,7 ,15,"Jan 12th, 2021"
Ryzen 3 5300G,Cezanne,4,8,4 to 4.2 GHz,4,4000,4.2,4200,GHz,Socket AM4,7 nm,7 ,65,"Apr 13th, 2021"
Ryzen 3 1300X,Zen,4,4,3.4 to 3.7 GHz,3.4,3400,3.7,3700,GHz,Socket AM4,14 nm,14 ,65,"Jul 27th, 2017"
Ryzen 3 1300,Zen,4,4,3.2 to 3.5 GHz,3.2,3200,3.5,3500,GHz,Socket AM4,14 nm,14 ,65,"Apr 11th, 2017"
Ryzen 3 1200,Zen,4,4,3.1 to 3.4 GHz,3.1,3100,3.4,3400,GHz,Socket AM4,14 nm,14 ,65,"Jul 27th, 2017"
PRO A8-9600,Bristol Ridge,4,4,3.1 to 3.4 GHz,3.1,3100,3.4,3400,GHz,Socket AM4,28 nm,28 ,65,"Oct 3rd, 2016"
PRO A6-9500E,Bristol Ridge,2,2,3 to 3.4 GHz,3,3000,3.4,3400,GHz,Socket AM4,28 nm,28 ,35,"Oct 3rd, 2016"
PRO A6-9500,Bristol Ridge,2,2,3.5 to 3.8 GHz,3.5,3500,3.8,3800,GHz,Socket AM4,28 nm,28 ,65,"Oct 3rd, 2016"
PRO A12-9800E,Bristol Ridge,4,4,3.1 to 3.8 GHz,3.1,3100,3.8,3800,GHz,Socket AM4,28 nm,28 ,35,"Jul 27th, 2017"
PRO A12-9800,Bristol Ridge,4,4,3.8 to 4.2 GHz,3.8,3800,4.2,4200,GHz,Socket AM4,28 nm,28 ,65,"Oct 3rd, 2016"
PRO A12-8870E,Carrizo,4,4,2.9 to 3.7 GHz,2.9,2900,3.7,3700,GHz,Socket AM4,28 nm,28 ,35,Oct 2016
PRO A12-8870,Carrizo,4,4,3.7 to 4.2 GHz,3.7,3700,4.2,4200,GHz,Socket AM4,28 nm,28 ,65,Oct 2016
PRO A10-9700E,Bristol Ridge,4,4,3 to 3.5 GHz,3,3000,3.5,3500,GHz,Socket AM4,28 nm,28 ,35,"Oct 3rd, 2016"
PRO A10-9700,Bristol Ridge,4,4,3.5 to 3.8 GHz,3.5,3500,3.8,3800,GHz,Socket AM4,28 nm,28 ,65,"Jul 27th, 2017"
PRO A10-8770E,Carrizo,4,4,2.8 to 3.5 GHz,2.8,2800,3.5,3500,GHz,Socket AM4,28 nm,28 ,35,Oct 2016
PRO A10-8770,Carrizo,4,4,3.5 to 3.8 GHz,3.5,3500,3.8,3800,GHz,Socket AM4,28 nm,28 ,65,Oct 2016
Phenom X4 9950 BE (140W),Agena,4,4,2.6 GHz,2.6,2600,2.6,2600,GHz,Socket AM2+,65 nm,65 ,140,"Mar 27th, 2008"
Phenom X4 9950 BE (125W),Agena,4,4,2.6 GHz,2.6,2600,2.6,2600,GHz,Socket AM2+,65 nm,65 ,125,"Oct 1st, 2008"
Phenom X4 9850B,Agena,4,4,2.5 GHz,2.5,2500,2.5,2500,GHz,Socket AM2+,65 nm,65 ,95,"Aug 15th, 2008"
Phenom X4 9850 BE,Agena,4,4,2.5 GHz,2.5,2500,2.5,2500,GHz,Socket AM2+,65 nm,65 ,125,"Mar 27th, 2008"
Phenom X4 9850 (95W),Agena,4,4,2.5 GHz,2.5,2500,2.5,2500,GHz,Socket AM2+,65 nm,65 ,95,"Oct 1st, 2008"
Phenom X4 9850 (125W),Agena,4,4,2.5 GHz,2.5,2500,2.5,2500,GHz,Socket AM2+,65 nm,65 ,125,"Jul 1st, 2008"
Phenom X4 9750B,Agena,4,4,2.4 GHz,2.4,2400,2.4,2400,GHz,Socket AM2+,65 nm,65 ,95,"Aug 15th, 2008"
Phenom X4 9750 (95W),Agena,4,4,2.4 GHz,2.4,2400,2.4,2400,GHz,Socket AM2+,65 nm,65 ,95,"Mar 27th, 2008"
Phenom X4 9750 (125W),Agena,4,4,2.4 GHz,2.4,2400,2.4,2400,GHz,Socket AM2+,65 nm,65 ,125,"Mar 27th, 2008"
Phenom X4 9650,Agena,4,4,2.3 GHz,2.3,2300,2.3,2300,GHz,Socket AM2+,65 nm,65 ,95,"Mar 27th, 2008"
Phenom X4 9600B,Agena,4,4,2.3 GHz,2.3,2300,2.3,2300,GHz,Socket AM2+,65 nm,65 ,95,"Apr 28th, 2008"
Phenom X4 9550,Agena,4,4,2.2 GHz,2.2,2200,2.2,2200,GHz,Socket AM2+,65 nm,65 ,95,"Mar 27th, 2008"
Phenom X4 9450e,Agena,4,4,2.1 GHz,2.1,2100,2.1,2100,GHz,Socket AM2+,65 nm,65 ,65,"Oct 1st, 2008"
Phenom X4 9350e,Agena,4,4,2000 MHz,2000,2000,2000,2000,MHz,Socket AM2+,65 nm,65 ,65,"Jul 1st, 2008"
Phenom X4 9150e,Agena,4,4,1800 MHz,1800,1800,1800,1800,MHz,Socket AM2+,65 nm,65 ,65,"Jul 1st, 2008"
Phenom X4 9100e,Agena,4,4,1800 MHz,1800,1800,1800,1800,MHz,Socket AM2+,65 nm,65 ,65,"Mar 27th, 2008"
Phenom X3 8850,Toliman,3,3,2.5 GHz,2.5,2500,2.5,2500,GHz,Socket AM2+,65 nm,65 ,95,"Oct 21st, 2008"
Phenom X3 8750 BE,Toliman,3,3,2.4 GHz,2.4,2400,2.4,2400,GHz,Socket AM2+,65 nm,65 ,95,"Sep 8th, 2008"
Phenom X3 8750,Toliman,3,3,2.4 GHz,2.4,2400,2.4,2400,GHz,Socket AM2+,65 nm,65 ,95,"Apr 23rd, 2008"
Phenom X3 8650,Toliman,3,3,2.3 GHz,2.3,2300,2.3,2300,GHz,Socket AM2+,65 nm,65 ,95,"Apr 23rd, 2008"
Phenom X3 8600,Toliman,3,3,2.3 GHz,2.3,2300,2.3,2300,GHz,Socket AM2+,65 nm,65 ,95,"Mar 27th, 2008"
Phenom X3 8550,Toliman,3,3,2.2 GHz,2.2,2200,2.2,2200,GHz,Socket AM2+,65 nm,65 ,95,"Apr 23rd, 2008"
Phenom X3 8450e,Toliman,3,3,2.1 GHz,2.1,2100,2.1,2100,GHz,Socket AM2+,65 nm,65 ,65,"Sep 8th, 2008"
Phenom X3 8450,Toliman,3,3,2.1 GHz,2.1,2100,2.1,2100,GHz,Socket AM2+,65 nm,65 ,95,"Apr 23rd, 2008"
Phenom X3 8400,Toliman,3,3,2.1 GHz,2.1,2100,2.1,2100,GHz,Socket AM2+,65 nm,65 ,95,"Mar 27th, 2008"
Phenom X3 8250e,Toliman,3,3,1900 MHz,1900,1900,1900,1900,MHz,Socket AM2+,65 nm,65 ,65,"Sep 8th, 2008"
Phenom II X6 1100T BE,Thuban,6,6,3.3 to 3.7 GHz,3.3,3300,3.7,3700,GHz,Socket AM3,45 nm,45 ,125,"Dec 7th, 2010"
Phenom II X6 1090T BE,Thuban,6,6,3.2 to 3.6 GHz,3.2,3200,3.6,3600,GHz,Socket AM3,45 nm,45 ,125,"Apr 27th, 2010"
Phenom II X6 1075T,Thuban,6,6,3 to 3.5 GHz,3,3000,3.5,3500,GHz,Socket AM3,45 nm,45 ,125,"Sep 21st, 2010"
Phenom II X6 1065T,Thuban,6,6,2.9 to 3.4 GHz,2.9,2900,3.4,3400,GHz,Socket AM3,45 nm,45 ,125,"Dec 7th, 2010"
Phenom II X6 1055T (95W),Thuban,6,6,2.8 to 3.3 GHz,2.8,2800,3.3,3300,GHz,Socket AM3,45 nm,45 ,95,"May 1st, 2010"
Phenom II X6 1055T (125W),Thuban,6,6,2.8 to 3.3 GHz,2.8,2800,3.3,3300,GHz,Socket AM3,45 nm,45 ,125,"Apr 27th, 2010"
Phenom II X6 1045T,Thuban,6,6,2.7 to 3.2 GHz,2.7,2700,3.2,3200,GHz,Socket AM3,45 nm,45 ,95,"Sep 1st, 2010"
Phenom II X6 1035T,Thuban,6,6,2.6 to 3.1 GHz,2.6,2600,3.1,3100,GHz,Socket AM3,45 nm,45 ,95,"Apr 27th, 2010"
Phenom II X4 B97,Deneb,4,4,3.2 GHz,3.2,3200,3.2,3200,GHz,Socket AM3,45 nm,45 ,95,"May 11th, 2010"
Phenom II X4 980 BE,Deneb,4,4,3.7 GHz,3.7,3700,3.7,3700,GHz,Socket AM3,45 nm,45 ,125,"May 3rd, 2011"
Phenom II X4 975 BE,Deneb,4,4,3.6 GHz,3.6,3600,3.6,3600,GHz,Socket AM3,45 nm,45 ,125,"Jan 4th, 2011"
Phenom II X4 970 BE,Zosma,4,4,3.5 GHz,3.5,3500,3.5,3500,GHz,Socket AM3,45 nm,45 ,125,"Oct 1st, 2010"
Phenom II X4 970 BE,Deneb,4,4,3.5 GHz,3.5,3500,3.5,3500,GHz,Socket AM3,45 nm,45 ,125,"Sep 21st, 2010"
Phenom II X4 960T BE,Zosma,4,4,3 to 3.4 GHz,3,3000,3.4,3400,GHz,Socket AM3,45 nm,45 ,95,"Jun 1st, 2010"
Phenom II X4 910e,Deneb,4,4,2.6 GHz,2.6,2600,2.6,2600,GHz,Socket AM3,45 nm,45 ,65,"Jan 25th, 2010"
Phenom II X4 850,Propus,4,4,3.3 GHz,3.3,3300,3.3,3300,GHz,Socket AM3,45 nm,45 ,95,"Jun 1st, 2011"
Phenom II X4 840T,Zosma,4,4,2.9 to 3.2 GHz,2.9,2900,3.2,3200,GHz,Socket AM3,45 nm,45 ,95,"Sep 1st, 2010"
Phenom II X4 840,Propus,4,4,3.2 GHz,3.2,3200,3.2,3200,GHz,Socket AM3,45 nm,45 ,95,"Jan 4th, 2011"
Phenom II X4 650T,Zosma,4,4,2.7 to 3.2 GHz,2.7,2700,3.2,3200,GHz,Socket AM3,45 nm,45 ,95,"Jul 1st, 2011"
Phenom II X3 B77,Heka,3,3,3.2 GHz,3.2,3200,3.2,3200,GHz,Socket AM3,45 nm,45 ,95,"May 11th, 2010"
Phenom II X3 B75,Heka,3,3,3 GHz,3,3000,3,3000,GHz,Socket AM3,45 nm,45 ,95,"Oct 1st, 2009"
Phenom II X3 B73,Heka,3,3,2.8 GHz,2.8,2800,2.8,2800,GHz,Socket AM3,45 nm,45 ,95,"Oct 1st, 2009"
Phenom II X3 740 BE,Heka,3,3,3 GHz,3,3000,3,3000,GHz,Socket AM3,45 nm,45 ,95,"Sep 1st, 2009"
Phenom II X3 720 BE,Heka,3,3,2.8 GHz,2.8,2800,2.8,2800,GHz,Socket AM3,45 nm,45 ,95,"Feb 9th, 2009"
Phenom II X3 720,Heka,3,3,2.8 GHz,2.8,2800,2.8,2800,GHz,Socket AM3,45 nm,45 ,95,"Jan 1st, 2010"
Phenom II X3 715 BE,Heka,3,3,2.8 GHz,2.8,2800,2.8,2800,GHz,Socket AM2+,45 nm,45 ,95,"Oct 1st, 2010"
Phenom II X3 710,Heka,3,3,2.6 GHz,2.6,2600,2.6,2600,GHz,Socket AM3,45 nm,45 ,95,"Feb 9th, 2009"
Phenom II X3 705e,Heka,3,3,2.5 GHz,2.5,2500,2.5,2500,GHz,Socket AM3,45 nm,45 ,65,"Jun 2nd, 2009"
Phenom II X3 700e,Heka,3,3,2.4 GHz,2.4,2400,2.4,2400,GHz,Socket AM3,45 nm,45 ,65,"Jun 2nd, 2009"
Phenom II X2 B57,Callisto,2,2,3.2 GHz,3.2,3200,3.2,3200,GHz,Socket AM3,45 nm,45 ,80,"May 11th, 2010"
Phenom II X2 B55,Callisto,2,2,3 GHz,3,3000,3,3000,GHz,Socket AM3,45 nm,45 ,80,"Oct 1st, 2009"
Phenom II X2 B53,Callisto,2,2,2.8 GHz,2.8,2800,2.8,2800,GHz,Socket AM3,45 nm,45 ,80,"Oct 1st, 2009"
Phenom II X2 570 BE,Callisto,2,2,3.5 GHz,3.5,3500,3.5,3500,GHz,Socket AM3,45 nm,45 ,80,"May 3rd, 2010"
Phenom II X2 565 BE,Callisto,2,2,3.4 GHz,3.4,3400,3.4,3400,GHz,Socket AM3,45 nm,45 ,80,"Dec 7th, 2010"
Phenom II X2 560 BE,Callisto,2,2,3.3 GHz,3.3,3300,3.3,3300,GHz,Socket AM3,45 nm,45 ,80,"Sep 21st, 2010"
Phenom II X2 555 BE,Callisto,2,2,3.2 GHz,3.2,3200,3.2,3200,GHz,Socket AM3,45 nm,45 ,80,"Jan 25th, 2010"
Phenom II X2 550 BE,Callisto,2,2,3.1 GHz,3.1,3100,3.1,3100,GHz,Socket AM3,45 nm,45 ,80,"Jun 1st, 2009"
Phenom II X2 550,Callisto,2,2,3.1 GHz,3.1,3100,3.1,3100,GHz,Socket AM3,45 nm,45 ,80,"Nov 4th, 2009"
Phenom II X2 545,Callisto,2,2,3 GHz,3,3000,3,3000,GHz,Socket AM3,45 nm,45 ,80,"Jun 1st, 2009"
Pentium U5600,Arrandale,2,2,1333 MHz,1333,1333,1333,1333,MHz,BGA 1288,32 nm,32 ,18,"Jan 9th, 2011"
Pentium U5400,Arrandale,2,2,1200 MHz,1200,1200,1200,1200,MHz,BGA 1288,32 nm,32 ,18,"May 25th, 2010"
Pentium SU4100,Penryn,2,2,1300 MHz,1300,1300,1300,1300,MHz,BGA 956,45 nm,45 ,10,"Sep 1st, 2009"
Pentium SU2700,Penryn,1,1,1300 MHz,1300,1300,1300,1300,MHz,BGA 956,45 nm,45 ,10,"Jun 2nd, 2009"
Pentium Silver J5005,Coffee Lake,4,4,1.5 to 2.4 GHz,1.5,1500,2.4,2400,GHz,BGA 1090,14 nm,14 ,10,"Dec 1st, 2017"
Pentium P6300,Arrandale,2,2,2.266 GHz,2.266,2266,2.266,2266,GHz,Socket G1,32 nm,32 ,35,"Jan 9th, 2011"
Pentium P6200,Arrandale,2,2,2.133 GHz,2.133,2133,2.133,2133,GHz,Socket G1,32 nm,32 ,35,"Sep 26th, 2010"
Pentium P6100,Arrandale,2,2,2000 MHz,2000,2000,2000,2000,MHz,Socket G1,32 nm,32 ,35,"Sep 26th, 2010"
Pentium P6000,Arrandale,2,2,1877 MHz,1877,1877,1877,1877,MHz,Socket G1,32 nm,32 ,35,"Jun 20th, 2010"
Pentium M 780,Dothan,1,1,2.26 GHz,2.26,2260,2.26,2260,GHz,Socket 479,90 nm,90 ,27,"Jul 25th, 2005"
Pentium M 765,Dothan,1,1,2.1 GHz,2.1,2100,2.1,2100,GHz,Socket 479,90 nm,90 ,21,"Oct 20th, 2004"
Pentium M 725,Dothan,1,1,1600 MHz,1600,1600,1600,1600,MHz,Socket 479,90 nm,90 ,21,"Jun 23rd, 2004"
Pentium M 715,Dothan,1,1,1500 MHz,1500,1500,1500,1500,MHz,Socket 479,90 nm,90 ,21,"Jun 23rd, 2004"
Pentium M 1.70,Banias,1,1,1700 MHz,1700,1700,1700,1700,MHz,Socket 478,130 nm,130 ,24,"Jun 2nd, 2003"
Pentium M 1.60,Banias,1,1,1600 MHz,1600,1600,1600,1600,MHz,Socket 478,130 nm,130 ,24,"Mar 12th, 2003"
Pentium M 1.50,Banias,1,1,1500 MHz,1500,1500,1500,1500,MHz,Socket 478,130 nm,130 ,24,"Mar 12th, 2003"
Pentium M 1.40,Banias,1,1,1400 MHz,1400,1400,1400,1400,MHz,Socket 478,130 nm,130 ,24,"Mar 12th, 2003"
Pentium M 1.30,Banias,1,1,1300 MHz,1300,1300,1300,1300,MHz,Socket 478,130 nm,130 ,24,"Mar 12th, 2003"
Pentium III Xeon 933 5V-12V,Cascades,1,1,933 MHz,933,933,933,933,MHz,Slot 2,180 nm,180 ,30,"May 24th, 2000"
Pentium III Xeon 933 2.8V,Cascades,1,1,933 MHz,933,933,933,933,MHz,Slot 2,180 nm,180 ,29,"May 24th, 2000"
Pentium III Xeon 900 5V-12V,Cascades-2M,1,1,900 MHz,900,900,900,900,MHz,Slot 2,180 nm,180 ,36,"Mar 21st, 2001"
Pentium III Xeon 900 2.8V,Cascades-2M,1,1,900 MHz,900,900,900,900,MHz,Slot 2,180 nm,180 ,36,"Mar 21st, 2001"
Pentium III Xeon 866 5V-12V,Cascades,1,1,866 MHz,866,866,866,866,MHz,Slot 2,180 nm,180 ,25,"Apr 10th, 2000"
Pentium III Xeon 866 2.8V,Cascades,1,1,866 MHz,866,866,866,866,MHz,Slot 2,180 nm,180 ,25,"Apr 10th, 2000"
Pentium III Xeon 800 5V-12V,Cascades,1,1,800 MHz,800,800,800,800,MHz,Slot 2,180 nm,180 ,25,"Jan 12th, 2000"
Pentium III Xeon 800 2.8V,Cascades,1,1,800 MHz,800,800,800,800,MHz,Slot 2,180 nm,180 ,25,"Jan 12th, 2000"
Pentium III Xeon 733 5V-12V,Cascades,1,1,733 MHz,733,733,733,733,MHz,Slot 2,180 nm,180 ,23,"Oct 25th, 1999"
Pentium III Xeon 733 2.8V,Cascades,1,1,733 MHz,733,733,733,733,MHz,Slot 2,180 nm,180 ,23,"Oct 25th, 1999"
Pentium III Xeon 700-2M 5V-12V,Cascades-2M,1,1,700 MHz,700,700,700,700,MHz,Slot 2,180 nm,180 ,30,"May 22nd, 2000"
Pentium III Xeon 700-2M 2.8V,Cascades-2M,1,1,700 MHz,700,700,700,700,MHz,Slot 2,180 nm,180 ,30,"May 22nd, 2000"
Pentium III Xeon 700 5V-12V,Cascades-2M,1,1,700 MHz,700,700,700,700,MHz,Slot 2,180 nm,180 ,30,"May 22nd, 2000"
Pentium III Xeon 700 2.8V,Cascades-2M,1,1,700 MHz,700,700,700,700,MHz,Slot 2,180 nm,180 ,29,"May 22nd, 2000"
Pentium III Xeon 667 5V-12V,Cascades,1,1,667 MHz,667,667,667,667,MHz,Slot 2,180 nm,180 ,21,"Oct 25th, 1999"
Pentium III Xeon 667 2.8V,Cascades,1,1,667 MHz,667,667,667,667,MHz,Slot 2,180 nm,180 ,21,"Oct 25th, 1999"
Pentium III Xeon 600 5V-12V,Cascades,1,1,600 MHz,600,600,600,600,MHz,Slot 2,180 nm,180 ,19,"Oct 25th, 1999"
Pentium III Xeon 600 2.8V,Cascades,1,1,600 MHz,600,600,600,600,MHz,Slot 2,180 nm,180 ,19,"Oct 25th, 1999"
Pentium III Xeon 550 2MB,Tanner,1,1,550 MHz,550,550,550,550,MHz,Slot 2,unknown,unkno,41,"Aug 23rd, 1999"
Pentium III Xeon 550 1MB,Tanner,1,1,550 MHz,550,550,550,550,MHz,Slot 2,unknown,unkno,35,"Aug 23rd, 1999"
Pentium III Xeon 550,Tanner,1,1,550 MHz,550,550,550,550,MHz,Slot 2,unknown,unkno,34,"Apr 7th, 1999"
Pentium III Xeon 500 2MB,Tanner,1,1,500 MHz,500,500,500,500,MHz,Slot 2,unknown,unkno,37,"Mar 17th, 1999"
Pentium III Xeon 500 1MB,Tanner,1,1,500 MHz,500,500,500,500,MHz,Slot 2,unknown,unkno,45,"Mar 17th, 1999"
Pentium III Xeon 500,Tanner,1,1,500 MHz,500,500,500,500,MHz,Slot 2,unknown,unkno,36,"Mar 17th, 1999"
Pentium III Xeon 1000 5V-12V,Cascades,1,1,1000 MHz,1000,1000,1000,1000,MHz,Slot 2,180 nm,180 ,31,"Aug 25th, 2000"
Pentium III Xeon 1000 2.8V,Cascades,1,1,1000 MHz,1000,1000,1000,1000,MHz,Slot 2,180 nm,180 ,30,"Aug 25th, 2000"
Pentium III 1400S,Tualatin,1,1,1400 MHz,1400,1400,1400,1400,MHz,Socket 370,130 nm,130 ,32,"Jan 8th, 2002"
Pentium III 1400,Tualatin,1,1,1400 MHz,1400,1400,1400,1400,MHz,Socket 370,130 nm,130 ,31,"Dec 1st, 2001"
Pentium III 1333,Tualatin,1,1,1333 MHz,1333,1333,1333,1333,MHz,Socket 370,130 nm,130 ,30,"Dec 1st, 2001"
Pentium III 1266S,Tualatin,1,1,1266 MHz,1266,1266,1266,1266,MHz,Socket 370,130 nm,130 ,30,"Jul 1st, 2001"
Pentium III 1200,Tualatin,1,1,1200 MHz,1200,1200,1200,1200,MHz,Socket 370,130 nm,130 ,30,"Jul 1st, 2001"
Pentium III 1133S,Tualatin,1,1,1133 MHz,1133,1133,1133,1133,MHz,Socket 370,130 nm,130 ,29,"Jun 1st, 2001"
Pentium III 1133,Coppermine,1,1,1133 MHz,1133,1133,1133,1133,MHz,Socket 370,180 nm,180 ,29,"Jul 31st, 2000"
Pentium III 1133,Tualatin,1,1,1133 MHz,1133,1133,1133,1133,MHz,Socket 370,130 nm,130 ,29,"Jul 1st, 2001"
Pentium III 1133,Coppermine T,1,1,1133 MHz,1133,1133,1133,1133,MHz,Socket 370,180 nm,180 ,29,"Jun 1st, 2001"
Pentium III 1000S,Tualatin,1,1,1000 MHz,1000,1000,1000,1000,MHz,Socket 370,130 nm,130 ,30,"Jun 1st, 2001"
Pentium III 1000,Coppermine T,1,1,1000 MHz,1000,1000,1000,1000,MHz,Socket 370,180 nm,180 ,29,"Jun 1st, 2001"
Pentium III 1000,Tualatin,1,1,1000 MHz,1000,1000,1000,1000,MHz,Socket 370,130 nm,130 ,30,"Jul 1st, 2001"
Pentium III  933,Coppermine T,1,1,933 MHz,933,933,933,933,MHz,Socket 370,180 nm,180 ,27,"Jun 1st, 2001"
Pentium III  866,Coppermine T,1,1,866 MHz,866,866,866,866,MHz,Socket 370,180 nm,180 ,38,"Jun 1st, 2001"
Pentium III  800,Coppermine T,1,1,800 MHz,800,800,800,800,MHz,Socket 370,180 nm,180 ,38,"Jun 1st, 2001"
Pentium II Xeon 450 2MB,Drake,1,1,450 MHz,450,450,450,450,MHz,Slot 2,unknown,unkno,47,"Jan 4th, 1999"
Pentium II Xeon 450 1MB,Drake,1,1,450 MHz,450,450,450,450,MHz,Slot 2,unknown,unkno,43,"Jan 4th, 1999"
Pentium II Xeon 450,Drake,1,1,450 MHz,450,450,450,450,MHz,Slot 2,unknown,unkno,35,"Oct 6th, 1998"
Pentium II Xeon 400 1MB,Drake,1,1,400 MHz,400,400,400,400,MHz,Slot 2,unknown,unkno,38,"Jun 29th, 1998"
Pentium II Xeon 400,Drake,1,1,400 MHz,400,400,400,400,MHz,Slot 2,unknown,unkno,31,"Jun 29th, 1998"
Pentium Gold G6605,Comet Lake-R,2,4,4.3 GHz,4.3,4300,4.3,4300,GHz,Socket 1200,14 nm,14 ,65,"Mar 16th, 2021"
Pentium Gold G6505T,Comet Lake-R,2,4,3.6 GHz,3.6,3600,3.6,3600,GHz,Socket 1200,14 nm,14 ,35,"Mar 16th, 2021"
Pentium Gold G6505,Comet Lake-R,2,4,4.2 GHz,4.2,4200,4.2,4200,GHz,Socket 1200,14 nm,14 ,65,"Mar 16th, 2021"
Pentium Gold G6405T,Comet Lake-R,2,4,3.5 GHz,3.5,3500,3.5,3500,GHz,Socket 1200,14 nm,14 ,35,"Mar 16th, 2021"
Pentium Gold G6405,Comet Lake-R,2,4,4.1 GHz,4.1,4100,4.1,4100,GHz,Socket 1200,14 nm,14 ,65,"Mar 16th, 2021"
